country_id,country_name,Population,year,Gini,density_psqkm,urbanization_perc,ES_pcap,energy_service,GDP_PPP_pcap,GDP_PPP,prop_TFC_PTR,Land_Area,historical_data,wem_urbanization_perc,d_bar,u_bar,rising_income,falling_income,gini_case1,gini_case2,gini_case3
49,Belarus,9371047999.99999,2026,23.287239216143956,46.18327337243108,81.8231764130221,NA,NA,18742.943325473887,175641021564.29523,NA,202910,0,81.8231764130221,8.427825770812369,0,1,0,24.403999999999996,24.407999999999998,24.407999999999998
49,Belarus,9330246999.99999,2027,23.050056415279624,45.98219407619136,82.15720341033646,NA,NA,18932.651898489858,176646318577.9291,NA,202910,0,82.15720341033646,8.037258673640807,0,1,0,24.411996,24.423983999999997,24.423971599999998
49,Belarus,9289331000,2028,22.814256702689743,45.780548026218526,82.51092431295093,NA,NA,19139.66140650129,177794650032.91605,NA,202910,0,82.51092431295093,7.649047614080565,0,1,0,24.423978005999995,24.447912048,24.4478439038
49,Belarus,9247954000,2029,22.580046481823928,45.57663003301957,82.88368048817972,NA,NA,19356.3056019753,179006223817.00986,NA,202910,0,82.88368048817972,7.260543967221778,0,1,0,24.439930049987996,24.479720399808,24.479503864547596
49,Belarus,9206170000,2030,22.34678788092637,45.37070622443448,83.275,NA,NA,19612.31176145829,180554276168.98447,NA,202910,0,83.275,6.87216772942714,0,1,0,24.459830224863026,24.519321797808956,24.51879688733745
49,Belarus,9164135000,2031,22.114376354604033,45.16354541422305,83.55653361711897,NA,NA,19916.46541946634,182517177826.8212,NA,202910,0,83.55653361711897,6.485647821240661,0,1,0,24.48365073418844,24.566605867022105,24.565527684922202
49,Belarus,9121857999.999989,2032,21.883255619262172,44.95519195702523,83.8530973315417,NA,NA,20252.124556752035,184737004405.00476,NA,202910,0,83.8530973315417,6.101373066015519,0,1,0,24.511357956618777,24.621439625952952,24.6194613806618
49,Belarus,9079649999.99999,2033,21.654192856624096,44.747178552067375,84.16210317268937,NA,NA,20583.16317091283,186887917484.7785,NA,202910,0,84.16210317268937,5.720758096900781,0,1,0,24.542912524792303,24.683668108945326,24.68032485095443
49,Belarus,9037589499.999989,2034,21.427553268453174,44.53989207037597,84.48034056722243,NA,NA,20888.759260125287,188784031357.33585,NA,202910,0,84.48034056722243,5.345367767348449,0,1,0,24.578269418430736,24.75311509596482,24.74780829757499
49,Belarus,8995944999.99999,2035,21.203261493076372,44.33465575871071,84.805,NA,NA,21169.466006293696,190439351871.98755,NA,202910,0,84.805,4.9775015010074455,0,1,0,24.61737807133858,24.829583945005172,24.821567038613566
49,Belarus,8954814000,2036,20.98110938540855,44.13195012567148,85.06495888765784,NA,NA,21433.945527634696,191936995486.10056,NA,202910,0,85.06495888765784,4.617357595756054,0,1,0,24.65629118098189,24.905288105555123,24.893982008121682
49,Belarus,8914125499.999989,2037,20.760879392370317,43.93142526243157,85.32829704089845,NA,NA,21692.895107121683,193373189443.21838,NA,202910,0,85.32829704089845,4.265395059379891,0,1,0,24.69500972507698,24.980235224499573,24.965069674735247
49,Belarus,8874162999.999989,2038,20.5424573749249,43.73447834015075,85.59306933633064,NA,NA,21952.275300911504,194808069241.16248,NA,202910,0,85.59306933633064,3.924217742080586,0,1,0,24.733534676451598,25.05443287225458,25.0348463272492
49,Belarus,8834815000,2039,20.325858314571146,43.54055985412252,85.85723836569345,NA,NA,22210.76803799998,196228026623.6428,NA,202910,0,85.85723836569345,3.5925898254149757,0,1,0,24.771867003069335,25.127888543532034,25.103328076491703
49,Belarus,8796014999.99999,2040,20.111141995167458,43.34934207284012,86.119,NA,NA,22463.993503158228,197593623813.6821,NA,202910,0,86.119,3.2706926285159312,0,1,0,24.81000766805399,25.200609658096713,25.170530857179212
49,Belarus,8757816000,2041,19.898366507940842,43.16108619585037,86.35163556071218,NA,NA,22707.154591097897,198865081792.39063,NA,202910,0,86.35163556071218,2.958559253827495,0,1,0,24.847957629713722,25.272603561515744,25.236470429752583
49,Belarus,8720054999.999989,2042,19.68730489212622,42.97498891133995,86.5802152366931,NA,NA,22954.44086237327,200163986814.1421,NA,202910,0,86.5802152366931,2.654089466469152,0,1,0,24.885717841565153,25.343877525900588,25.301162382194498
49,Belarus,8682459499.99999,2043,19.477976387422423,42.78970725937603,86.80479598061035,NA,NA,23204.43737159265,201471587699.1394,NA,202910,0,86.80479598061035,2.357208368978519,0,1,0,24.92328925235733,25.414438750641583,25.364622131828295
49,Belarus,8644973500,2044,19.270389721808893,42.60496525553201,87.02616954968501,NA,NA,23456.29319301705,202779033061.86276,NA,202910,0,87.02616954968501,2.0672687793672537,0,1,0,24.96067280609554,25.484294363135167,25.426864927098475
49,Belarus,8607464999.999989,2045,19.064708818428,42.42011236508792,87.245,NA,NA,23697.421308929428,203974724506.86398,NA,202910,0,87.245,1.7840473325432171,0,1,0,24.997869442065063,25.553451419503816,25.48790584933301
49,Belarus,8569634000,2046,18.860615738639734,42.23367010004436,87.45492224059763,NA,NA,23950.843116895056,205249959503.20984,NA,202910,0,87.45492224059763,1.5061300395682906,0,1,0,25.03488009485474,25.62191690530878,25.54775981448767
49,Belarus,8531294499.99999,2047,18.658096137187837,42.04472179784136,87.6623257164509,NA,NA,24218.294032015678,206613398674.71796,NA,202910,0,87.6623257164509,1.2315118435591756,0,1,0,25.071705694380462,25.689697736255688,25.606441574872544
49,Belarus,8491914500,2048,18.457154238099022,41.8506456064265,87.86809590408546,NA,NA,24500.159962493148,208053263637.81503,NA,202910,0,87.86809590408546,0.9577945074282042,0,1,0,25.10834716590856,25.756800758893135,25.663965720860926
49,Belarus,8451272499.99999,2049,18.258017878625143,41.65034990882653,88.07351569160441,NA,NA,24777.906902416984,209404843211.9566,NA,202910,0,88.07351569160441,0.6825591000521385,0,1,0,25.14480543007902,25.823232751304204,25.720346682580736
49,Belarus,8409632000,2050,18.06065052100537,41.44513331033463,88.28,NA,NA,25053.622328851157,210691744052.62122,NA,202910,0,88.28,0.40711794643967636,0,1,0,25.181081402928623,25.889000423791163,25.775598731588705
49,Belarus,8366981500,2051,17.864968928790105,41.23493913557735,88.48132220068571,NA,NA,25333.87706881667,211968080758.0633,NA,202910,0,88.48132220068571,0.13177425411361554,0,1,0,25.217175995913983,25.954110419553256,25.829735982527424
49,Belarus,8323372499.999999,2052,17.671179970714565,41.02002119166133,88.67761134635427,NA,NA,25599.193254385922,213071621155.74127,NA,202910,0,88.67761134635427,0,0,1,0,25.253090115934413,26.01856931535772,25.882772394765485
49,Belarus,8278855499.99999,2053,17.479261649700753,40.80062835739979,88.86899326338111,NA,NA,25849.559861713158,214004770833.723,NA,202910,0,88.86899326338111,0,0,1,0,25.288824665354742,26.08238362220414,25.934721774020847
49,Belarus,8233498500,2054,17.28918929168254,40.577095756739446,89.05559063248228,NA,NA,26085.367057674484,214773830541.3123,NA,202910,0,89.05559063248228,0,0,1,0,25.324380542027967,26.145559785982098,25.98559777396764
