year,country_name,Gini_case1,Gini_case2,Gini_case3
1964,Chile,56.2,56.2,56.2
1964,Belarus,32,32,32
1964,Switzerland,36,36,36
1964,Hungary,29.9,29.9,29.9
1964,Norway,26.9,26.9,26.9
1964,Portugal,38.8,38.8,38.8
1964,Kuwait,35.1,35.1,35.1
1964,Bangladesh,25.9,25.9,25.9
1964,Ethiopia,44.6,44.6,44.6
1964,North Korea,59.3,59.3,59.3
1964,Israel,36.3,36.3,36.3
1964,Denmark,26.2,26.2,26.2
1964,Tanzania,35.3,35.3,35.3
1964,Bulgaria,35.7,35.7,35.7
1964,Syria,35.2,35.2,35.2
1964,Slovakia,27.1,27.1,27.1
1964,Qatar,35.1,35.1,35.1
1964,Kenya,56.9,56.9,56.9
1964,Libya,35.2,35.2,35.2
1964,Sudan,35.4,35.4,35.4
1964,New Zealand,31.3,31.3,31.3
1964,DR Congo,41.6,41.6,41.6
1964,Turkmenistan,40.8,40.8,40.8
1964,Myanmar,38.1,38.1,38.1
1964,Ireland,35.5,35.5,35.5
1964,Oman,35.1,35.1,35.1
1964,Azerbaijan,34.6,34.6,34.6
1964,Morocco,36.5,36.5,36.5
1964,Peru,53.3,53.3,53.3
1964,Mozambique,53.3,53.3,53.3
1964,Ecuador,50.5,50.5,50.5
1964,Angola,51.9,51.9,51.9
1964,Yemen,35,35,35
1965,USA,37.5,37.5,37.5
1965,China,32.2,32.2,32.2
1965,Russia,36.9,36.9,36.9
1965,India,33.2,33.2,33.2
1965,Japan,34.8,34.8,34.8
1965,Germany,29.5,29.5,29.5
1965,France,37.1,37.1,37.1
1965,Canada,37.2,37.2,37.2
1965,United Kingdom,26.8,26.8,26.8
1965,Brazil,57.9,57.9,57.9
1965,South Korea,31.7,31.7,31.7
1965,Italy,34,34,34
1965,Indonesia,32.3,32.3,32.3
1965,Mexico,50.1,50.1,50.1
1965,Iran,47.4,47.4,47.4
1965,Saudi Arabia,35.1,35.1,35.1
1965,Spain,34.5,34.5,34.5
1965,Ukraine,29.7,29.7,29.7
1965,South Africa,59.3,59.3,59.3
1965,Australia,31.3,31.3,31.3
1965,Taiwan,31.7,31.7,31.7
1965,Nigeria,38.7,38.7,38.7
1965,Thailand,45.2,45.2,45.2
1965,Poland,38,38,38
1965,Türkiye,43.5,43.5,43.5
1965,Netherlands,28.4,28.4,28.4
1965,Pakistan,33.3,33.3,33.3
1965,Argentina,40.8,40.8,40.8
1965,Malaysia,48.5,48.5,48.5
1965,Egypt,32,32,32
1965,Venezuela,55.6,55.6,55.6
1965,Kazakhstan,35.4,35.4,35.4
1965,Belgium,25.2,25.2,25.2
1965,Vietnam,35.7,35.7,35.7
1965,Sweden,24.3,24.3,24.3
1965,Uzbekistan,44.3,44.3,44.3
1965,United Arab Emirates,32.5,32.5,32.5
1965,Czechia,20.7,20.7,20.7
1965,Philippines,47.7,47.7,47.7
1965,Romania,39.6,39.6,39.6
1965,Finland,22.2,22.2,22.2
1965,Algeria,37.4,37.4,37.4
1965,Austria,30.8,30.8,30.8
1965,Iraq,28.6,28.6,28.6
1965,Greece,37,37,37
1965,Singapore,26.3,26.3,26.3
1965,Colombia,55.1,55.1,55.1
1965,Chile,56.2,56.2,56.2
1965,Belarus,32,32,32
1965,Switzerland,36,36,36
1965,Hungary,29.9,29.9,29.9
1965,Norway,26.9,26.9,26.9
1965,Portugal,38.8,38.8,38.8
1965,Kuwait,35.1,35.1,35.1
1965,Bangladesh,25.9,25.9,25.9
1965,Ethiopia,44.6,44.6,44.6
1965,North Korea,59.3,59.3,59.3
1965,Israel,36.3,36.3,36.3
1965,Denmark,26.2,26.2,26.2
1965,Tanzania,35.3,35.3,35.3
1965,Bulgaria,35.7,35.7,35.7
1965,Syria,35.2,35.2,35.2
1965,Slovakia,27.1,27.1,27.1
1965,Qatar,35.1,35.1,35.1
1965,Kenya,56.9,56.9,56.9
1965,Libya,35.2,35.2,35.2
1965,Sudan,35.4,35.4,35.4
1965,New Zealand,31.3,31.3,31.3
1965,DR Congo,41.6,41.6,41.6
1965,Turkmenistan,40.8,40.8,40.8
1965,Myanmar,38.1,38.1,38.1
1965,Ireland,35.5,35.5,35.5
1965,Oman,35.1,35.1,35.1
1965,Azerbaijan,34.6,34.6,34.6
1965,Morocco,36.5,36.5,36.5
1965,Peru,53.3,53.3,53.3
1965,Mozambique,53.3,53.3,53.3
1965,Ecuador,50.5,50.5,50.5
1965,Angola,51.9,51.9,51.9
1965,Yemen,35,35,35
1966,USA,37.8,37.8,37.8
1966,China,32.2,32.2,32.2
1966,Russia,36.9,36.9,36.9
1966,India,33.2,33.2,33.2
1966,Japan,34.8,34.8,34.8
1966,Germany,29.5,29.5,29.5
1966,France,37.1,37.1,37.1
1966,Canada,37.2,37.2,37.2
1966,United Kingdom,26.8,26.8,26.8
1966,Brazil,57.9,57.9,57.9
1966,South Korea,31.7,31.7,31.7
