country_id,country_name,iso3c,year,Gini,density_psqkm,urbanization_perc,ES_pcap,energy_service,GDP_PPP_pcap,GDP_PPP,prop_TFC_PTR,lag_GDP_PPP_pcap,lag_ES_pcap,lag_energy_service,lag_Gini,lag_density,lag_urbanization
2,China,CHN,1969,NA,84.7894975101856,17.528,26.466036867027547,21229475863.902084,932.6682590265386,748130836268.0923,0.880120651751623,870.0191701819758,23.71605767164246,18522502439.94042,NA,82.497803104945,17.656
2,China,CHN,1970,NA,87.1637419114318,17.4,29.462865649693224,24257041335.594383,1034.375804526444,851610869942.5814,0.9658448756454012,932.6682590265386,26.466036867027547,21229475863.902084,NA,84.7894975101856,17.528
2,China,CHN,1971,NA,89.5912443746172,17.292,32.71556013197884,27614218685.723244,1099.2119660595636,927811704591.9762,1.0557039464234943,1034.375804526444,29.462865649693224,24257041335.594383,NA,87.1637419114318,17.4
2,China,CHN,1972,NA,91.8200942667696,17.184,37.32311221271983,32235143818.26611,1066.1948325010744,920848817967.8446,1.1730803876476565,1099.2119660595636,32.71556013197884,27614218685.723244,NA,89.5912443746172,17.292
2,China,CHN,1973,NA,93.9408302931856,17.184,42.784709317085095,37760798298.494255,1121.370561947255,989695811504.5651,1.3288707132241848,1066.1948325010744,37.32311221271983,32235143818.26611,NA,91.8200942667696,17.184
2,China,CHN,1974,NA,95.9017921337843,17.292,49.47736006374704,44544842798.554344,1132.4279765320127,1019533502400.113,1.5176095336401259,1121.370561947255,42.784709317085095,37760798298.494255,NA,93.9408302931856,17.184
2,China,CHN,1975,NA,97.6108433414108,17.4,51.8937976105554,47540779599.25448,1191.9924185745072,1092004275360.7686,1.4757531423698043,1132.4279765320127,49.47736006374704,44544842798.554344,NA,95.9017921337843,17.292
2,China,CHN,1976,NA,99.132958751631,17.46,52.05853988722044,48433823437.45648,1138.4500233400777,1059182365511.5117,1.4501212340655403,1191.9924185745072,51.8937976105554,47540779599.25448,NA,97.6108433414108,17.4
2,China,CHN,1977,NA,100.493169653556,17.52,55.61928454710781,52479374703.85208,1188.1549187234357,1121079274817.0017,1.4443873346260911,1138.4500233400777,52.05853988722044,48433823437.45648,NA,99.132958751631,17.46
2,China,CHN,1978,NA,101.846989588049,17.9,60.94564023000915,58273874354.16641,1308.699292740431,1251327869634.7346,1.5053363858155038,1188.1549187234357,55.61928454710781,52479374703.85208,NA,100.493169653556,17.52
2,China,CHN,1979,NA,103.214656618646,18.617,63.844003661472705,61883231217.78982,1392.1811597533915,1349424592212.0889,1.582044567761566,1308.699292740431,60.94564023000915,58273874354.16641,NA,101.846989588049,17.9
2,China,CHN,1980,NA,104.517348813677,19.358,60.12366353336205,59111393877.22914,1440.3270321017135,1416077023638.8142,1.5277577401451148,1392.1811597533915,63.844003661472705,61883231217.78982,NA,103.214656618646,18.617
2,China,CHN,1981,NA,105.864777780737,20.118,56.426277725084546,56297686300.84108,1464.0384100613503,1460701971935.5862,1.443263282731478,1440.3270321017135,60.12366353336205,59111393877.22914,NA,104.517348813677,19.358
2,China,CHN,1982,NA,107.435358027321,20.902,58.75100980361293,59549329276.25922,1572.8019764052885,1594173497483.4453,1.475748120912894,1464.0384100613503,56.426277725084546,56297686300.84108,NA,105.864777780737,20.118
2,China,CHN,1983,NA,108.999014725854,21.545,64.50867524976736,66383617122.028824,1660.8974947301956,1709171408995.9365,1.5713606926248125,1572.8019764052885,58.75100980361293,59549329276.25922,NA,107.435358027321,20.902
2,China,CHN,1984,NA,110.438580140069,22.203,70.0472202461337,73118765426.78572,1815.302098265496,1894902436319.7764,1.6215523796181839,1660.8974947301956,64.50867524976736,66383617122.028824,NA,108.999014725854,21.545
2,China,CHN,1985,NA,111.952706840998,22.874,73.60753031067105,78009836675.78139,1926.6956117993166,2041927087704.7734,1.689507909659436,1815.302098265496,70.0472202461337,73118765426.78572,NA,110.438580140069,22.203
2,China,CHN,1986,NA,113.630335792081,23.559,83.79667039095038,90268589499.83359,2025.3669852993223,2181793383072.705,1.8572685633607275,1926.6956117993166,73.60753031067105,78009836675.78139,NA,111.952706840998,22.874
2,China,CHN,1987,NA,115.467206348361,24.259,90.76330873497957,99496322764.25873,2153.409041892199,2360604566556.6006,1.9367211846348709,2025.3669852993223,83.79667039095038,90268589499.83359,NA,113.630335792081,23.559
2,China,CHN,1988,NA,117.341357547999,24.974,98.37335003399454,109710304715.28831,2210.626271711029,2465388052732.0557,2.0252765737944847,2153.409041892199,90.76330873497957,99496322764.25873,NA,115.467206348361,24.259
2,China,CHN,1989,NA,119.154261976407,25.701,105.43439894279993,119561660756.75742,2182.133849295269,2474520172081.798,2.161805486128565,2210.626271711029,98.37335003399454,109710304715.28831,NA,117.341357547999,24.974
