country_id,country_name,iso3c,year,Gini,density_psqkm,urbanization_perc,ES_pcap,energy_service,GDP_PPP_pcap,GDP_PPP,lag_GDP_PPP_pcap,lag_ES_pcap,lag_energy_service,lag_Gini,lag_density,lag_urbanization
8,Canada,CAN,2016,32.7,4.02771072511681,81.3,8686.452999329214,313698498357.77155,43321.89965775837,1564506809591.2458,43350.212562575405,8358.180375348646,298655554302.6851,33.7,3.98239245827659,81.259
8,Canada,CAN,2017,33.3,4.07614836279598,81.35,8814.921388436838,322223699618.10266,44100.525723338185,1612065942223.593,43321.89965775837,8686.452999329214,313698498357.77155,32.7,4.02771072511681,81.3
8,Canada,CAN,2018,32.5,4.13498944297029,81.411,9091.397454933638,336702213958.42084,44736.66273528801,1656833667513.726,44100.525723338185,8814.921388436838,322223699618.10266,33.3,4.07614836279598,81.35
8,Canada,CAN,2019,31.7,4.19587500655283,81.482,8993.44575962276,337457328461.61084,44985.584100180524,1687975380680.8757,44736.66273528801,9091.397454933638,336702213958.42084,32.5,4.13498944297029,81.411
8,Canada,CAN,2020,NA,4.24162135453439,81.562,7635.517234495187,289299860020.204,42219.52741534519,1599643219479.4263,44985.584100180524,8993.44575962276,337457328461.61084,31.7,4.19587500655283,81.482
8,Canada,CAN,2021,NA,4.351026204103,81.653,8074.184063252171,308070589823.59454,43837.838160976455,1672633241086.1104,42219.52741534519,7635.517234495187,289299860020.204,NA,4.24162135453439,81.562
8,Canada,CAN,2022,NA,4.43058199733749,81.752,8436.20229669792,324408481755.37286,45168.14407948841,1736910582415.7612,43837.838160976455,8074.184063252171,308070589823.59454,NA,4.351026204103,81.653
8,Canada,CAN,2023,NA,NA,81.862,8541.422135292341,331247381653.3247,45362.278244606074,1759207735708.1765,45168.14407948841,8436.20229669792,324408481755.37286,NA,4.43058199733749,81.752
9,United Kingdom,GBR,1960,NA,NA,78.444,1804.4303347336686,94810213753.22684,14015.789861429357,736431884957.5104,NA,NA,NA,NA,NA,NA
9,United Kingdom,GBR,1961,NA,218.244946885463,78.374,1923.8909534684622,101699282587.9255,14303.428336158935,756097115438.2085,14015.789861429357,1804.4303347336686,94810213753.22684,NA,NA,78.444
9,United Kingdom,GBR,1962,NA,220.104989046418,78.237,2019.2023755813436,107388512038.03922,14369.67787486407,764231631315.957,14303.428336158935,1923.8909534684622,101699282587.9255,NA,218.244946885463,78.374
9,United Kingdom,GBR,1963,NA,221.758359856157,78.099,2128.654699926257,113901149812.16971,14972.887419388155,801176956100.7535,14369.67787486407,2019.2023755813436,107388512038.03922,NA,220.104989046418,78.237
9,United Kingdom,GBR,1964,NA,223.205059314678,77.96,2345.4350587197237,126328650415.23215,15723.087147735876,846869058407.7743,14972.887419388155,2128.654699926257,113901149812.16971,NA,221.758359856157,78.099
9,United Kingdom,GBR,1965,NA,224.643698590501,77.821,2501.982067124854,135681400388.97266,15946.167687959663,864753745108.1921,15723.087147735876,2345.4350587197237,126328650415.23215,NA,223.205059314678,77.96
9,United Kingdom,GBR,1966,NA,225.885586739966,77.682,2627.344087331774,143349212331.55344,16094.988338435136,878150643429.1669,15946.167687959663,2501.982067124854,135681400388.97266,NA,224.643698590501,77.821
9,United Kingdom,GBR,1967,NA,227.105361054851,77.541,2792.8594050367747,153261970708.0509,16444.46235084547,902412309971.5215,16094.988338435136,2627.344087331774,143349212331.55344,NA,225.885586739966,77.682
9,United Kingdom,GBR,1968,26.8,228.213532840078,77.4,2952.809586887282,162904272584.52335,17248.816131209885,951604145853.8524,16444.46235084547,2792.8594050367747,153261970708.0509,NA,227.105361054851,77.541
9,United Kingdom,GBR,1969,27.9,229.164427727028,77.259,3047.27044199029,168881309428.46124,17499.731000092415,969844174385.5106,17248.816131209885,2952.809586887282,162904272584.52335,26.8,228.213532840078,77.4
9,United Kingdom,GBR,1970,28,230.079981812921,77.117,3216.935485506261,179022992171.24628,17896.949291584995,995968190021.8127,17499.731000092415,3047.27044199029,168881309428.46124,27.9,229.164427727028,77.259
9,United Kingdom,GBR,1971,29.3,231.042958707064,77.03,3370.496037570022,188329509657.1469,18467.273985522188,1031875609889.4612,17896.949291584995,3216.935485506261,179022992171.24628,28,230.079981812921,77.117
9,United Kingdom,GBR,1972,28.8,231.82765676022,77.195,3566.3052634526184,199917499322.67404,19198.026062172128,1076189803944.4056,18467.273985522188,3370.496037570022,188329509657.1469,29.3,231.042958707064,77.03
9,United Kingdom,GBR,1973,28.8,232.275976522134,77.358,3800.7926824935744,213477714403.92737,20405.607105357536,1146114174009.1821,19198.026062172128,3566.3052634526184,199917499322.67404,28.8,231.82765676022,77.195
9,United Kingdom,GBR,1974,29,232.422494109866,77.521,3704.352120396424,208309707363.49756,19870.629155547256,1117400508912.1135,20405.607105357536,3800.7926824935744,213477714403.92737,28.8,232.275976522134,77.358
9,United Kingdom,GBR,1975,27.9,232.405241185467,77.683,3629.3063047983323,204209606236.34476,19559.929218798563,1100575456665.2869,19870.629155547256,3704.352120396424,208309707363.49756,29,232.422494109866,77.521
9,United Kingdom,GBR,1976,27.6,232.348067622866,77.844,3802.6607004470616,213949979305.2048,20150.49869399856,1133732172860.8867,19559.929218798563,3629.3063047983323,204209606236.34476,27.9,232.405241185467,77.683
9,United Kingdom,GBR,1977,27.1,232.271698425164,78.005,3911.2755502899045,219989067521.96762,20648.100971957763,1161349135471.609,20150.49869399856,3802.6607004470616,213949979305.2048,27.6,232.348067622866,77.844
9,United Kingdom,GBR,1978,27.2,232.284148307362,78.164,4147.347311852622,233249997981.32697,21511.851861121806,1209843069771.7197,20648.100971957763,3911.2755502899045,219989067521.96762,27.1,232.271698425164,78.005
9,United Kingdom,GBR,1979,27.4,232.492667300459,78.323,4243.299856564588,238749917776.1345,22302.823400512418,1254871782113.2231,21511.851861121806,4147.347311852622,233249997981.32697,27.2,232.284148307362,78.164
