country_id,country_name,iso3c,wem_regions,Population,year,Gini,density_psqkm,urbanization_perc,ES_pcap,energy_service,GDP_PPP_pcap,GDP_PPP,prop_TFC_PTR,Land_Area,historical_data
65,Kenya,KEN,East Africa,103478193999.99998,2088,17.624423785463605,181.81500860948097,67.90221685623018,NA,NA,45306.31734643895,4688215895800.374,NA,569140,0
65,Kenya,KEN,East Africa,103628692000,2089,17.461627196236034,182.07943915381102,68.4294737431037,NA,NA,46479.17615933557,4816576230629.528,NA,569140,0
65,Kenya,KEN,East Africa,103764131000,2090,17.300499213208784,182.31741047896827,68.95202981596526,NA,NA,47666.74643512692,4946098521438.293,NA,569140,0
65,Kenya,KEN,East Africa,103881430000.00002,2091,17.14106577300884,182.52350915416247,69.4697954906525,NA,NA,48862.41653962468,5075897703391.864,NA,569140,0
65,Kenya,KEN,East Africa,103980500000,2092,16.983212217700157,182.69757880310644,69.98268561945899,NA,NA,50073.86400756073,5206705416438.169,NA,569140,0
65,Kenya,KEN,East Africa,104061375000,2093,16.826889315541383,182.83967916505605,70.49061950131829,NA,NA,51303.24598065033,5338686318709.697,NA,569140,0
65,Kenya,KEN,East Africa,104125112000,2094,16.672066943049572,182.95166742804935,70.99352088439672,NA,NA,52551.035665989366,5471882474437.138,NA,569140,0
65,Kenya,KEN,East Africa,104175483000,2095,16.51874209949667,183.0401711353973,71.4913179612919,NA,NA,53814.403950071304,5606141523855.786,NA,569140,0
65,Kenya,KEN,East Africa,104212766000,2096,16.366879978610694,183.1056787433672,71.98394335705065,NA,NA,55094.41541392146,5741541421437.79,NA,569140,0
65,Kenya,KEN,East Africa,104231296999.99998,2097,16.216421160066602,183.13823839477104,72.47133411023076,NA,NA,56396.15466911964,5878244346974.945,NA,569140,0
65,Kenya,KEN,East Africa,104234506000.00002,2098,16.067343043981104,183.14387672628882,72.95343164725065,NA,NA,57720.32672588656,6016449742431.384,NA,569140,0
65,Kenya,KEN,East Africa,104224942999.99998,2099,15.919624256096284,183.12707418209928,73.43018175027903,NA,NA,59067.65366479544,6156322836357.045,NA,569140,0
